1,0.000208
2,0.000168
3,0.000234
4,0.000308
5,0.000527
6,0.000604
7,0.002064
8,0.000711
9,0.000887
10,0.001205
11,0.001431
12,0.001758
13,0.001651
14,0.00384
15,0.002247
16,0.002476
17,0.002657
18,0.002921
19,0.003299
20,0.00616
21,0.003629
22,0.004365
23,0.004655
24,0.006033
25,0.005716
26,0.009942
27,0.005992
28,0.007726
29,0.0089
30,0.008248
31,0.012531
32,0.008243
33,0.009834
34,0.010034
35,0.012081
36,0.011567
37,0.013853
38,0.012816
39,0.013468
40,0.015938
41,0.015644
42,0.016376
43,0.016527
44,0.017304
45,0.018001
46,0.02054
47,0.020419
48,0.020567
49,0.021004
50,0.024856
51,0.022074
52,0.02363
53,0.025099
54,0.028932
55,0.040604
56,0.028274
57,0.02996
58,0.03082
59,0.029946
60,0.032881
61,0.035582
62,0.036106
63,0.035685
64,0.03599
65,0.038654
66,0.038848
67,0.041993
68,0.041917
69,0.047708
70,0.044058
71,0.043524
72,0.04786
73,0.04974
74,0.0474
75,0.051966
76,0.052271
77,0.054307
78,0.053709
79,0.058356
80,0.05654
81,0.059749
82,0.064149
83,0.062561
84,0.067393
85,0.065443
86,0.068903
87,0.072948
88,0.069852
89,0.076253
90,0.072496
91,0.07995
92,0.085935
93,0.077518
94,0.076759
95,0.084353
96,0.085434
97,0.083727
98,0.087615
99,0.088668
100,0.092264
